lr: [0.001]Epoch 1, Train Loss:7.29, Valid_Loss:5.27, Valid_Accuracy:3.75% 
lr: [0.0002691534803926915]Epoch 172, Train Loss:0.54, Valid_Loss:1.46, Valid_Accuracy:78.75% 
lr: [0.0002691534803926915]Epoch 173, Train Loss:4.40, Valid_Loss:0.55, Valid_Accuracy:81.25% 
lr: [0.00026302679918953814]Epoch 174, Train Loss:2.00, Valid_Loss:0.29, Valid_Accuracy:81.25% 
lr: [0.00026302679918953814]Epoch 175, Train Loss:1.50, Valid_Loss:1.01, Valid_Accuracy:83.75% 
lr: [0.00026302679918953814]Epoch 176, Train Loss:0.07, Valid_Loss:1.07, Valid_Accuracy:78.75% 
lr: [0.0002570395782768863]Epoch 177, Train Loss:1.24, Valid_Loss:0.76, Valid_Accuracy:79.38% 
lr: [0.0002570395782768863]Epoch 178, Train Loss:3.16, Valid_Loss:0.81, Valid_Accuracy:80.00% 
lr: [0.0002570395782768863]Epoch 179, Train Loss:0.01, Valid_Loss:1.08, Valid_Accuracy:81.88% 
lr: [0.00025118864315095795]Epoch 180, Train Loss:0.07, Valid_Loss:0.79, Valid_Accuracy:83.12% 
lr: [0.00025118864315095795]Epoch 181, Train Loss:0.55, Valid_Loss:1.45, Valid_Accuracy:79.38% 
lr: [0.00025118864315095795]Epoch 182, Train Loss:3.69, Valid_Loss:0.52, Valid_Accuracy:80.62% 
lr: [0.00024547089156850296]Epoch 183, Train Loss:0.94, Valid_Loss:1.00, Valid_Accuracy:85.00% 
lr: [0.00024547089156850296]Epoch 184, Train Loss:1.92, Valid_Loss:0.29, Valid_Accuracy:81.25% 
lr: [0.00024547089156850296]Epoch 185, Train Loss:0.28, Valid_Loss:1.42, Valid_Accuracy:84.38% 
lr: [0.00023988329190194896]Epoch 186, Train Loss:0.03, Valid_Loss:0.06, Valid_Accuracy:82.50% 
lr: [0.00023988329190194896]Epoch 187, Train Loss:3.63, Valid_Loss:0.22, Valid_Accuracy:83.75% 
lr: [0.00023988329190194896]Epoch 188, Train Loss:0.82, Valid_Loss:0.16, Valid_Accuracy:85.00% 
lr: [0.00023442288153199212]Epoch 189, Train Loss:2.15, Valid_Loss:0.48, Valid_Accuracy:85.00% 
lr: [0.00023442288153199212]Epoch 190, Train Loss:0.18, Valid_Loss:1.72, Valid_Accuracy:85.00% 
lr: [0.00023442288153199212]Epoch 191, Train Loss:0.70, Valid_Loss:1.00, Valid_Accuracy:79.38% 
lr: [0.0002290867652767772]Epoch 192, Train Loss:0.14, Valid_Loss:0.66, Valid_Accuracy:81.88% 
lr: [0.0002290867652767772]Epoch 193, Train Loss:0.19, Valid_Loss:1.44, Valid_Accuracy:82.50% 
lr: [0.0002290867652767772]Epoch 194, Train Loss:5.68, Valid_Loss:0.90, Valid_Accuracy:85.62% 
