lr: 1.6407529230770167e-06Epoch 106, Train Loss:10.33, Valid_Loss:6.88, Valid_Accuracy:77.30% 
lr: 1.6561373846153912e-06Epoch 107, Train Loss:5.95, Valid_Loss:8.11, Valid_Accuracy:74.85% 
lr: 1.6715218461537658e-06Epoch 108, Train Loss:14.69, Valid_Loss:6.36, Valid_Accuracy:80.37% 
lr: 1.6869063076923622e-06Epoch 109, Train Loss:7.31, Valid_Loss:5.35, Valid_Accuracy:80.37% 
lr: 1.7022907692307367e-06Epoch 110, Train Loss:13.21, Valid_Loss:4.41, Valid_Accuracy:79.75% 
lr: 1.7176752307693332e-06Epoch 111, Train Loss:4.97, Valid_Loss:5.56, Valid_Accuracy:78.53% 
lr: 1.7330596923077075e-06Epoch 112, Train Loss:2.55, Valid_Loss:4.32, Valid_Accuracy:76.69% 
lr: 1.748444153846082e-06Epoch 113, Train Loss:5.64, Valid_Loss:3.90, Valid_Accuracy:77.91% 
lr: 1.7638286153846784e-06Epoch 114, Train Loss:7.08, Valid_Loss:9.16, Valid_Accuracy:79.75% 
lr: 1.779213076923053e-06Epoch 115, Train Loss:5.97, Valid_Loss:3.14, Valid_Accuracy:80.98% 
lr: 1.7945975384616494e-06Epoch 116, Train Loss:6.31, Valid_Loss:5.44, Valid_Accuracy:79.75% 
lr: 1.8099820000000239e-06Epoch 117, Train Loss:2.61, Valid_Loss:7.14, Valid_Accuracy:78.53% 
lr: 1.8253664615383982e-06Epoch 118, Train Loss:7.26, Valid_Loss:3.46, Valid_Accuracy:84.05% 
lr: 1.8407509230769948e-06Epoch 119, Train Loss:5.81, Valid_Loss:6.77, Valid_Accuracy:80.98% 
lr: 1.8561353846153692e-06Epoch 120, Train Loss:6.60, Valid_Loss:8.72, Valid_Accuracy:81.60% 
lr: 1.8715198461537437e-06Epoch 121, Train Loss:6.56, Valid_Loss:7.73, Valid_Accuracy:79.14% 
lr: 1.8869043076923401e-06Epoch 122, Train Loss:9.62, Valid_Loss:3.81, Valid_Accuracy:77.91% 
lr: 1.9022887692307146e-06Epoch 123, Train Loss:9.20, Valid_Loss:3.15, Valid_Accuracy:87.12% 
lr: 1.9176732307693113e-06Epoch 124, Train Loss:9.41, Valid_Loss:3.89, Valid_Accuracy:83.44% 
lr: 1.9330576923076856e-06Epoch 125, Train Loss:5.96, Valid_Loss:8.00, Valid_Accuracy:73.62% 
lr: 1.94844215384606e-06Epoch 126, Train Loss:4.96, Valid_Loss:8.47, Valid_Accuracy:82.21% 
lr: 1.9638266153846565e-06Epoch 127, Train Loss:4.15, Valid_Loss:7.09, Valid_Accuracy:78.53% 
lr: 1.979211076923031e-06Epoch 128, Train Loss:4.73, Valid_Loss:5.93, Valid_Accuracy:83.44% 
lr: 1.9945955384616275e-06Epoch 129, Train Loss:12.08, Valid_Loss:5.46, Valid_Accuracy:87.12% 
lr: 2.009980000000002e-06Epoch 130, Train Loss:9.00, Valid_Loss:3.30, Valid_Accuracy:82.82% 
lr: 2.025364461538376e-06Epoch 131, Train Loss:10.01, Valid_Loss:8.39, Valid_Accuracy:79.75% 
lr: 2.0407489230769728e-06Epoch 132, Train Loss:5.82, Valid_Loss:4.01, Valid_Accuracy:82.21% 
lr: 2.056133384615347e-06Epoch 133, Train Loss:6.13, Valid_Loss:3.43, Valid_Accuracy:82.21% 
lr: 2.0715178461539437e-06Epoch 134, Train Loss:4.76, Valid_Loss:7.31, Valid_Accuracy:79.75% 
lr: 2.086902307692318e-06Epoch 135, Train Loss:8.57, Valid_Loss:6.41, Valid_Accuracy:79.75% 
lr: 2.1022867692306928e-06Epoch 136, Train Loss:14.77, Valid_Loss:5.40, Valid_Accuracy:83.44% 
lr: 2.117671230769289e-06Epoch 137, Train Loss:6.44, Valid_Loss:8.88, Valid_Accuracy:84.05% 
lr: 2.1330556923076637e-06Epoch 138, Train Loss:8.28, Valid_Loss:8.99, Valid_Accuracy:82.82% 
lr: 2.14844015384626e-06Epoch 139, Train Loss:6.41, Valid_Loss:5.56, Valid_Accuracy:87.73% 
lr: 2.1638246153846347e-06Epoch 140, Train Loss:8.03, Valid_Loss:5.06, Valid_Accuracy:87.73% 
lr: 2.179209076923009e-06Epoch 141, Train Loss:6.55, Valid_Loss:5.79, Valid_Accuracy:84.05% 
lr: 2.194593538461605e-06Epoch 142, Train Loss:4.49, Valid_Loss:7.68, Valid_Accuracy:85.28% 
lr: 2.20997799999998e-06Epoch 143, Train Loss:11.40, Valid_Loss:2.76, Valid_Accuracy:81.60% 
lr: 2.2253624615383542e-06Epoch 144, Train Loss:12.81, Valid_Loss:6.02, Valid_Accuracy:88.34% 
lr: 2.240746923076951e-06Epoch 145, Train Loss:3.87, Valid_Loss:6.91, Valid_Accuracy:87.12% 
lr: 2.256131384615325e-06Epoch 146, Train Loss:3.38, Valid_Loss:2.23, Valid_Accuracy:85.28% 
lr: 2.271515846153922e-06Epoch 147, Train Loss:5.61, Valid_Loss:8.35, Valid_Accuracy:82.82% 
lr: 2.286900307692296e-06Epoch 148, Train Loss:6.92, Valid_Loss:6.90, Valid_Accuracy:85.28% 
lr: 2.3022847692306705e-06Epoch 149, Train Loss:6.50, Valid_Loss:5.83, Valid_Accuracy:84.66% 
lr: 2.317669230769267e-06Epoch 150, Train Loss:5.39, Valid_Loss:5.85, Valid_Accuracy:80.98% 
lr: 2.3330536923076414e-06Epoch 151, Train Loss:15.43, Valid_Loss:3.64, Valid_Accuracy:85.28% 
lr: 2.348438153846238e-06Epoch 152, Train Loss:2.17, Valid_Loss:7.76, Valid_Accuracy:87.73% 
lr: 2.3638226153846124e-06Epoch 153, Train Loss:3.78, Valid_Loss:5.14, Valid_Accuracy:88.34% 
