lr: [0.001]Epoch 1, Train Loss:4.06, Valid_Loss:3.77, Valid_Accuracy:11.34% 
lr: [0.00047863009232263827]Epoch 96, Train Loss:0.01, Valid_Loss:0.35, Valid_Accuracy:92.82% 
lr: [0.00047863009232263827]Epoch 97, Train Loss:0.00, Valid_Loss:0.02, Valid_Accuracy:92.59% 
lr: [0.00047863009232263827]Epoch 98, Train Loss:0.00, Valid_Loss:0.33, Valid_Accuracy:91.90% 
lr: [0.00046773514128719813]Epoch 99, Train Loss:0.04, Valid_Loss:0.17, Valid_Accuracy:90.74% 
lr: [0.00046773514128719813]Epoch 100, Train Loss:0.00, Valid_Loss:0.86, Valid_Accuracy:91.67% 
lr: [0.00046773514128719813]Epoch 101, Train Loss:0.00, Valid_Loss:0.28, Valid_Accuracy:90.28% 
lr: [0.000457088189614875]Epoch 102, Train Loss:0.00, Valid_Loss:0.19, Valid_Accuracy:92.59% 
lr: [0.000457088189614875]Epoch 103, Train Loss:0.00, Valid_Loss:0.30, Valid_Accuracy:92.59% 
lr: [0.000457088189614875]Epoch 104, Train Loss:0.00, Valid_Loss:1.53, Valid_Accuracy:90.74% 
lr: [0.00044668359215096305]Epoch 105, Train Loss:0.07, Valid_Loss:0.20, Valid_Accuracy:91.90% 
lr: [0.00044668359215096305]Epoch 106, Train Loss:0.52, Valid_Loss:0.53, Valid_Accuracy:90.51% 
lr: [0.00044668359215096305]Epoch 107, Train Loss:0.00, Valid_Loss:0.27, Valid_Accuracy:90.74% 
lr: [0.0004365158322401659]Epoch 108, Train Loss:0.00, Valid_Loss:0.57, Valid_Accuracy:92.82% 
lr: [0.0004365158322401659]Epoch 109, Train Loss:0.00, Valid_Loss:0.51, Valid_Accuracy:91.90% 
lr: [0.0004365158322401659]Epoch 110, Train Loss:0.00, Valid_Loss:0.68, Valid_Accuracy:93.75% 
lr: [0.00042657951880159257]Epoch 111, Train Loss:0.03, Valid_Loss:0.07, Valid_Accuracy:91.67% 
lr: [0.00042657951880159257]Epoch 112, Train Loss:0.00, Valid_Loss:0.42, Valid_Accuracy:91.90% 
lr: [0.00042657951880159257]Epoch 113, Train Loss:0.00, Valid_Loss:0.06, Valid_Accuracy:91.90% 
lr: [0.0004168693834703353]Epoch 114, Train Loss:0.03, Valid_Loss:0.46, Valid_Accuracy:91.67% 
lr: [0.0004168693834703353]Epoch 115, Train Loss:0.00, Valid_Loss:0.08, Valid_Accuracy:90.51% 
lr: [0.0004168693834703353]Epoch 116, Train Loss:0.01, Valid_Loss:0.12, Valid_Accuracy:92.36% 
lr: [0.0004073802778041126]Epoch 117, Train Loss:0.00, Valid_Loss:0.54, Valid_Accuracy:90.28% 
lr: [0.0004073802778041126]Epoch 118, Train Loss:0.85, Valid_Loss:0.00, Valid_Accuracy:92.59% 
lr: [0.0004073802778041126]Epoch 119, Train Loss:0.00, Valid_Loss:0.22, Valid_Accuracy:91.90% 
lr: [0.00039810717055349714]Epoch 120, Train Loss:0.00, Valid_Loss:0.11, Valid_Accuracy:91.90% 
lr: [0.00039810717055349714]Epoch 121, Train Loss:0.00, Valid_Loss:1.49, Valid_Accuracy:92.13% 
lr: [0.00039810717055349714]Epoch 122, Train Loss:1.08, Valid_Loss:1.15, Valid_Accuracy:92.82% 
lr: [0.0003890451449942805]Epoch 123, Train Loss:0.00, Valid_Loss:0.29, Valid_Accuracy:91.67% 
lr: [0.0003890451449942805]Epoch 124, Train Loss:0.01, Valid_Loss:0.64, Valid_Accuracy:91.44% 
lr: [0.0003890451449942805]Epoch 125, Train Loss:0.08, Valid_Loss:1.05, Valid_Accuracy:91.90% 
lr: [0.0003801893963205611]Epoch 126, Train Loss:0.07, Valid_Loss:0.01, Valid_Accuracy:93.06% 
lr: [0.0003801893963205611]Epoch 127, Train Loss:0.00, Valid_Loss:0.54, Valid_Accuracy:92.13% 
lr: [0.0003801893963205611]Epoch 128, Train Loss:0.00, Valid_Loss:0.27, Valid_Accuracy:92.36% 
lr: [0.0003715352290971724]Epoch 129, Train Loss:0.00, Valid_Loss:0.31, Valid_Accuracy:93.29% 
lr: [0.0003715352290971724]Epoch 130, Train Loss:1.19, Valid_Loss:0.99, Valid_Accuracy:92.13% 
lr: [0.0003715352290971724]Epoch 131, Train Loss:0.05, Valid_Loss:0.73, Valid_Accuracy:92.13% 
lr: [0.00036307805477010124]Epoch 132, Train Loss:0.01, Valid_Loss:0.69, Valid_Accuracy:94.91% 
lr: [0.00036307805477010124]Epoch 133, Train Loss:0.01, Valid_Loss:0.28, Valid_Accuracy:93.52% 
lr: [0.00036307805477010124]Epoch 134, Train Loss:0.00, Valid_Loss:0.04, Valid_Accuracy:93.29% 
lr: [0.0003548133892335754]Epoch 135, Train Loss:0.00, Valid_Loss:0.14, Valid_Accuracy:91.90% 
lr: [0.0003548133892335754]Epoch 136, Train Loss:0.00, Valid_Loss:0.10, Valid_Accuracy:91.67% 
lr: [0.0003548133892335754]Epoch 137, Train Loss:0.01, Valid_Loss:0.75, Valid_Accuracy:91.44% 
lr: [0.0003467368504525316]Epoch 138, Train Loss:0.00, Valid_Loss:0.26, Valid_Accuracy:92.59% 
lr: [0.0003467368504525316]Epoch 139, Train Loss:0.00, Valid_Loss:0.15, Valid_Accuracy:92.36% 
lr: [0.0003467368504525316]Epoch 140, Train Loss:0.00, Valid_Loss:0.05, Valid_Accuracy:93.98% 
lr: [0.00033884415613920246]Epoch 141, Train Loss:0.01, Valid_Loss:0.82, Valid_Accuracy:92.82% 
lr: [0.00033884415613920246]Epoch 142, Train Loss:0.00, Valid_Loss:0.08, Valid_Accuracy:92.13% 
lr: [0.00033884415613920246]Epoch 143, Train Loss:0.75, Valid_Loss:0.04, Valid_Accuracy:93.52% 
lr: [0.000331131121482591]Epoch 144, Train Loss:0.02, Valid_Loss:0.14, Valid_Accuracy:92.59% 
lr: [0.000331131121482591]Epoch 145, Train Loss:0.00, Valid_Loss:0.07, Valid_Accuracy:91.67% 
lr: [0.000331131121482591]Epoch 146, Train Loss:0.00, Valid_Loss:0.36, Valid_Accuracy:94.44% 
lr: [0.00032359365692962816]Epoch 147, Train Loss:0.00, Valid_Loss:0.01, Valid_Accuracy:92.59% 
lr: [0.00032359365692962816]Epoch 148, Train Loss:0.00, Valid_Loss:0.55, Valid_Accuracy:93.06% 
lr: [0.00032359365692962816]Epoch 149, Train Loss:0.14, Valid_Loss:0.03, Valid_Accuracy:93.06% 
lr: [0.00031622776601683783]Epoch 150, Train Loss:0.00, Valid_Loss:0.09, Valid_Accuracy:91.90% 
lr: [0.00031622776601683783]Epoch 151, Train Loss:0.00, Valid_Loss:0.86, Valid_Accuracy:94.21% 
lr: [0.00031622776601683783]Epoch 152, Train Loss:0.00, Valid_Loss:0.00, Valid_Accuracy:94.21% 
lr: [0.00030902954325135894]Epoch 153, Train Loss:0.00, Valid_Loss:0.01, Valid_Accuracy:93.52% 
lr: [0.00030902954325135894]Epoch 154, Train Loss:0.12, Valid_Loss:0.04, Valid_Accuracy:92.82% 
lr: [0.00030902954325135894]Epoch 155, Train Loss:1.46, Valid_Loss:1.43, Valid_Accuracy:93.06% 
lr: [0.0003019951720402015]Epoch 156, Train Loss:0.00, Valid_Loss:0.34, Valid_Accuracy:94.68% 
lr: [0.0003019951720402015]Epoch 157, Train Loss:0.00, Valid_Loss:0.02, Valid_Accuracy:94.44% 
lr: [0.0003019951720402015]Epoch 158, Train Loss:0.00, Valid_Loss:0.21, Valid_Accuracy:93.75% 
lr: [0.00029512092266663847]Epoch 159, Train Loss:0.00, Valid_Loss:0.54, Valid_Accuracy:94.91% 
lr: [0.00029512092266663847]Epoch 160, Train Loss:0.00, Valid_Loss:0.17, Valid_Accuracy:94.44% 
lr: [0.00029512092266663847]Epoch 161, Train Loss:0.01, Valid_Loss:0.42, Valid_Accuracy:94.44% 
lr: [0.0002884031503126605]Epoch 162, Train Loss:0.00, Valid_Loss:0.00, Valid_Accuracy:92.59% 
lr: [0.0002884031503126605]Epoch 163, Train Loss:0.00, Valid_Loss:0.00, Valid_Accuracy:94.21% 
lr: [0.0002884031503126605]Epoch 164, Train Loss:0.00, Valid_Loss:0.19, Valid_Accuracy:94.21% 
lr: [0.0002818382931264453]Epoch 165, Train Loss:0.00, Valid_Loss:0.06, Valid_Accuracy:95.14% 
lr: [0.0002818382931264453]Epoch 166, Train Loss:0.04, Valid_Loss:0.01, Valid_Accuracy:91.90% 
lr: [0.0002818382931264453]Epoch 167, Train Loss:0.00, Valid_Loss:0.46, Valid_Accuracy:93.98% 
lr: [0.00027542287033381657]Epoch 168, Train Loss:0.00, Valid_Loss:0.08, Valid_Accuracy:94.68% 
lr: [0.00027542287033381657]Epoch 169, Train Loss:0.03, Valid_Loss:0.57, Valid_Accuracy:93.75% 
lr: [0.00027542287033381657]Epoch 170, Train Loss:0.00, Valid_Loss:0.77, Valid_Accuracy:93.98% 
lr: [0.0002691534803926915]Epoch 171, Train Loss:0.00, Valid_Loss:0.36, Valid_Accuracy:93.06% 
lr: [0.0002691534803926915]Epoch 172, Train Loss:0.00, Valid_Loss:0.11, Valid_Accuracy:94.44% 
