lr: 2.4253604615385543e-06Epoch 157, Train Loss:0.78, Valid_Loss:2.99, Valid_Accuracy:93.29% 
lr: 2.4407449230769286e-06Epoch 158, Train Loss:1.50, Valid_Loss:6.02, Valid_Accuracy:92.95% 
lr: 2.4561293846153033e-06Epoch 159, Train Loss:2.98, Valid_Loss:2.14, Valid_Accuracy:92.79% 
lr: 2.4715138461538995e-06Epoch 160, Train Loss:1.74, Valid_Loss:1.68, Valid_Accuracy:90.77% 
lr: 2.4868983076922743e-06Epoch 161, Train Loss:3.46, Valid_Loss:3.66, Valid_Accuracy:91.78% 
lr: 2.5022827692308705e-06Epoch 162, Train Loss:3.79, Valid_Loss:5.02, Valid_Accuracy:92.95% 
lr: 2.5176672307692452e-06Epoch 163, Train Loss:1.70, Valid_Loss:3.32, Valid_Accuracy:92.28% 
lr: 2.5330516923076195e-06Epoch 164, Train Loss:1.29, Valid_Loss:7.88, Valid_Accuracy:92.11% 
lr: 2.548436153846216e-06Epoch 165, Train Loss:1.17, Valid_Loss:3.44, Valid_Accuracy:93.29% 
lr: 2.5638206153845905e-06Epoch 166, Train Loss:3.13, Valid_Loss:3.13, Valid_Accuracy:91.78% 
lr: 2.5792050769231867e-06Epoch 167, Train Loss:1.55, Valid_Loss:2.37, Valid_Accuracy:92.45% 
lr: 2.5945895384615614e-06Epoch 168, Train Loss:2.11, Valid_Loss:5.03, Valid_Accuracy:89.93% 
lr: 2.6099739999999358e-06Epoch 169, Train Loss:0.49, Valid_Loss:2.37, Valid_Accuracy:93.46% 
lr: 2.6253584615385324e-06Epoch 170, Train Loss:0.92, Valid_Loss:2.93, Valid_Accuracy:93.79% 
lr: 2.6407429230769067e-06Epoch 171, Train Loss:0.57, Valid_Loss:4.03, Valid_Accuracy:92.11% 
lr: 2.656127384615281e-06Epoch 172, Train Loss:0.51, Valid_Loss:4.04, Valid_Accuracy:92.28% 
lr: 2.6715118461538777e-06Epoch 173, Train Loss:3.50, Valid_Loss:5.56, Valid_Accuracy:93.46% 
lr: 2.686896307692252e-06Epoch 174, Train Loss:1.94, Valid_Loss:3.19, Valid_Accuracy:93.29% 
lr: 2.7022807692308486e-06Epoch 175, Train Loss:0.79, Valid_Loss:6.75, Valid_Accuracy:91.78% 
lr: 2.717665230769223e-06Epoch 176, Train Loss:0.75, Valid_Loss:4.17, Valid_Accuracy:93.79% 
lr: 2.7330496923075977e-06Epoch 177, Train Loss:1.29, Valid_Loss:7.03, Valid_Accuracy:93.46% 
lr: 2.748434153846194e-06Epoch 178, Train Loss:2.58, Valid_Loss:3.44, Valid_Accuracy:94.46% 
lr: 2.7638186153845686e-06Epoch 179, Train Loss:1.99, Valid_Loss:1.66, Valid_Accuracy:92.62% 
lr: 2.779203076923165e-06Epoch 180, Train Loss:2.04, Valid_Loss:4.94, Valid_Accuracy:92.79% 
lr: 2.794587538461539e-06Epoch 181, Train Loss:1.34, Valid_Loss:4.39, Valid_Accuracy:91.95% 
lr: 2.809971999999914e-06Epoch 182, Train Loss:1.39, Valid_Loss:5.23, Valid_Accuracy:92.95% 
lr: 2.82535646153851e-06Epoch 183, Train Loss:1.74, Valid_Loss:2.17, Valid_Accuracy:93.62% 
lr: 2.840740923076885e-06Epoch 184, Train Loss:0.45, Valid_Loss:5.70, Valid_Accuracy:91.61% 
lr: 2.856125384615481e-06Epoch 185, Train Loss:1.13, Valid_Loss:5.38, Valid_Accuracy:93.29% 
lr: 2.871509846153856e-06Epoch 186, Train Loss:2.14, Valid_Loss:3.44, Valid_Accuracy:94.46% 
lr: 2.88689430769223e-06Epoch 187, Train Loss:2.42, Valid_Loss:1.55, Valid_Accuracy:95.47% 
